metro_info,flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,year_of_bulding,price
"{'Underground name': ['Приморская', 'Василеостровская', 'Спортивная'], 'Underground time': ['8', '12', '13'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,48.0,18.0,20.0,13,2018,9099000
"{'Underground name': ['Комендантский проспект', 'Старая Деревня', 'Удельная'], 'Underground time': ['7', '11', '11'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,33.3,15.0,10.5,16,2017,9290000
"{'Underground name': ['Гражданский проспект', 'Девяткино', 'Академическая'], 'Underground time': ['5', '25', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,43.6,26.4,6.1,4,1971,9500000
"{'Underground name': ['Звездная', 'Московская', 'Купчино'], 'Underground time': ['12', '22', '6'], 'Transport type': ['legs', 'legs', 'car']}",1,1-комнатная,41.0,21.0,10.8,5,2004,8900000
"{'Underground name': ['Лесная', 'Выборгская', 'Академическая'], 'Underground time': ['25', '5', '8'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,34.83,13.2,14.8,8,2023,9600000
"{'Underground name': ['Проспект Ветеранов', 'Ленинский проспект', 'Автово'], 'Underground time': ['8', '9', '11'], 'Transport type': ['car', 'car', 'car']}",1,4-комнатная,77.5,48.0,6.3,1,1973,9290000
"{'Underground name': ['Ленинский проспект', 'Звездная', 'Московская'], 'Underground time': ['4', '6', '6'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,31.23,14.1,10.1,7,2025,9000000
"{'Underground name': ['Василеостровская', 'Горный институт', 'Спортивная'], 'Underground time': ['13', 'откроется', '23'], 'Transport type': ['legs', 'legs', 'legs']}",1,3-комнатная,58.2,41.5,6.9,4,1917,9500000
"{'Underground name': ['Парнас', 'Проспект Просвещения', 'Озерки'], 'Underground time': ['20', '7', '9'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,50.3,27.2,10.2,19,2020,9600000
"{'Underground name': ['Волковская', 'Бухарестская', 'Обводный канал'], 'Underground time': ['4', '23', '4'], 'Transport type': ['legs', 'legs', 'car']}",1,2-комнатная,45.6,31.0,9.0,1,1950,9490000
"{'Underground name': ['Беговая', 'Старая Деревня', 'Комендантский проспект'], 'Underground time': ['17', '8', '9'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,36.4,16.1,10.8,19,2012,8800000
"{'Underground name': ['Новочеркасская', 'Ладожская', 'Чернышевская'], 'Underground time': ['24', '5', '7'], 'Transport type': ['legs', 'car', 'car']}",1,3-комнатная,54.6,41.0,5.5,3,1963,8950000
"{'Underground name': ['Гражданский проспект', 'Девяткино', 'Академическая'], 'Underground time': ['7', '5', '7'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,39.6,20.0,12.0,10,2008,9200000
"{'Underground name': ['Комендантский проспект', 'Озерки', 'Пионерская'], 'Underground time': ['6', '11', '11'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,67.0,40.3,12.0,7,2018,9600000
"{'Underground name': ['Звездная', 'Купчино', 'Московская'], 'Underground time': ['10', '12', '12'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,54.5,34.0,9.5,2,1992,9300000
"{'Underground name': ['Ломоносовская', 'Елизаровская', 'Пролетарская'], 'Underground time': ['4', '5', '5'], 'Transport type': ['legs', 'car', 'car']}",1,2-комнатная,49.0,33.0,5.6,4,1951,9500000
"{'Underground name': ['Приморская', 'Василеостровская', 'Спортивная'], 'Underground time': ['7', '10', '13'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,39.1,16.1,14.1,11,2016,8650000
"{'Underground name': ['Автово', 'Кировский завод', 'Ленинский проспект'], 'Underground time': ['6', '6', '7'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,35.29,10.8,15.4,21,2024,8650000
"{'Underground name': ['Комендантский проспект', 'Старая Деревня', 'Удельная'], 'Underground time': ['7', '11', '11'], 'Transport type': ['car', 'car', 'car']}",1,1-комнатная,32.5,17.0,10.0,4,2020,9380000
"{'Underground name': ['Проспект Просвещения', 'Озерки', 'Парнас'], 'Underground time': ['17', '5', '7'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,42.3,19.3,9.0,11,2012,8700000
"{'Underground name': ['Ладожская', 'Новочеркасская', 'Улица Дыбенко'], 'Underground time': ['6', '8', '9'], 'Transport type': ['car', 'car', 'car']}",1,3-комнатная,57.4,39.0,6.2,5,1980,8400000
"{'Underground name': ['Московская', 'Звездная', 'Ленинский проспект'], 'Underground time': ['16', '6', '7'], 'Transport type': ['legs', 'car', 'car']}",1,1-комнатная,31.7,18.0,8.0,4,1980,8199995
"{'Underground name': ['Академическая', 'Гражданский проспект', 'Девяткино'], 'Underground time': ['6', '6', '7'], 'Transport type': ['car', 'car', 'car']}",1,2-комнатная,45.9,30.7,6.4,1,1967,7999999
