flat_status,num_of_rooms,total_area_m2,living_area_m2,kitchen_area_m2,floor,price,metro_station,minutes_to_metro,transfer_type,house_age,is_future_building
0,1-комнатная,44.57,13.2,17.0,2,6633780,Рыбацкое,17,на машине,0,1
1,2-комнатная,43.8,26.5,7.2,4,6600000,Пролетарская,7,пешком,64,0
0,1-комнатная,33.24,11.4,15.6,22,6644676,Академическая,15,на машине,1,0
1,1-комнатная,31.0,20.0,6.3,3,6600000,Удельная,10,пешком,66,0
0,1-комнатная,47.79,14.6,19.7,4,6749907,Рыбацкое,18,на машине,0,1
1,1-комнатная,30.6,17.9,6.0,5,6600000,Приморская,10,пешком,62,0
1,1-комнатная,32.6,17.4,7.7,7,6300000,Озерки,18,пешком,48,0
0,1-комнатная,37.03,10.0,15.0,2,6437177,Купчино,3,на машине,0,0
1,Студия,26.9,16.9,5.0,4,5847130,Комендантский проспект,7,на машине,2,0
1,Студия,26.8,17.5,1.0,23,6400000,Звездная,6,на машине,10,0
0,1-комнатная,32.9,10.4,16.5,6,6471430,Ломоносовская,6,на машине,0,0
1,1-комнатная,31.0,16.0,8.2,3,6400000,Ладожская,6,на машине,56,0
0,2-комнатная,54.16,20.8,17.9,1,6394834,Рыбацкое,19,на машине,0,1
0,1-комнатная,35.5,14.5,12.7,14,6375356,Елизаровская,18,пешком,0,1
1,1-комнатная,35.6,18.0,8.0,1,6500000,Звездная,11,на машине,29,0
1,1-комнатная,45.7,18.3,12.4,12,6300000,Купчино,8,на машине,15,0
0,1-комнатная,35.64,12.1,13.1,1,6478720,Звездная,14,на машине,0,0
0,1-комнатная,35.23,12.1,12.6,1,6364050,Звездная,14,на машине,0,0
1,Студия,21.0,8.2,4.6,8,6419700,Парнас,28,пешком,1,0
0,1-комнатная,32.27,11.3,15.0,24,6399141,Академическая,15,на машине,1,0
1,Студия,27.8,14.4,5.0,2,5803846,Комендантский проспект,7,на машине,2,0
0,1-комнатная,37.05,11.6,12.1,5,6335550,Проспект Ветеранов,24,на машине,0,1
1,1-комнатная,38.5,9.0,16.0,2,6500000,Парнас,6,на машине,4,0
0,2-комнатная,56.68,21.9,18.4,1,6325520,Рыбацкое,19,на машине,0,1
0,1-комнатная,32.27,11.3,15.0,20,6337828,Академическая,15,на машине,1,0
1,2-комнатная,50.0,30.0,9.4,8,6500000,Шушары,19,на машине,50,0
0,1-комнатная,45.22,13.8,18.5,4,6334101,Рыбацкое,18,на машине,0,1
1,3-комнатная,42.0,29.0,6.0,4,6350000,Московская,15,пешком,63,0
0,2-комнатная,59.2,22.3,21.3,2,21803360,Выборгская,11,пешком,0,1
1,Студия,24.0,13.0,3.0,6,6000000,Комендантский проспект,6,на машине,6,0
0,2-комнатная,71.06,23.0,23.9,2,25389738,Черная речка,9,пешком,0,0
1,3-комнатная,79.72,46.2,13.9,9,20700000,Лесная,20,пешком,3,0
1,Студия,24.7,14.0,4.0,5,3600000,Шушары,14,на машине,6,0
0,1-комнатная,34.8,19.8,6.7,2,14538465,Балтийская,5,пешком,0,0
1,1-комнатная,38.2,10.0,17.0,11,13580000,Приморская,9,на машине,2,0
0,Студия,19.9,9.6,5.0,3,3261610,Академическая,15,на машине,0,1
1,1-комнатная,34.0,14.6,9.2,4,15000000,Чернышевская,12,пешком,108,0
0,1-комнатная,27.2,15.2,3.7,6,11518561,Новочеркасская,13,пешком,1,0
0,1-комнатная,45.4,14.2,18.2,2,30444270,Чкаловская,18,пешком,0,1
0,1-комнатная,39.66,21.8,5.6,5,19863618,Василеостровская,8,пешком,1,0
0,1-комнатная,51.68,11.6,17.5,2,20299904,Выборгская,11,пешком,0,1
1,2-комнатная,60.0,32.0,11.0,4,12450000,Московские ворота,4,пешком,108,0
0,2-комнатная,61.93,26.3,17.3,5,34244928,Василеостровская,8,пешком,1,0
1,1-комнатная,31.7,16.7,7.0,7,5500000,Проспект Просвещения,5,на машине,47,0
0,2-комнатная,54.1,18.9,17.7,2,16809573,Приморская,5,на машине,0,1
1,1-комнатная,46.7,14.6,20.0,8,15480000,Удельная,10,пешком,13,0
1,1-комнатная,35.0,19.6,6.0,6,4800000,Ленинский проспект,9,на машине,52,0
0,2-комнатная,76.5,30.8,25.5,2,23441933,Новочеркасская,13,пешком,1,0
1,3-комнатная,94.1,52.7,12.3,3,17000000,Василеостровская,3,пешком,108,0
0,1-комнатная,25.73,15.7,5.0,2,15571000,Чкаловская,8,пешком,0,1
